,mean_log_expr
Colgalt2,0.0005404937299266626
Ms4a4d,0.003204764180458268
Smyd1,0.00712512068160552
A2m,1.0978381532455363e-05
Mink1,0.08783705064525134
Rassf4,0.0007282459993454045
Ppp1r3f,0.008057373289995014
Phyh,0.06271195775048549
Xlr5a,0.0023311352293937824
Scaf8,0.11445600312655595
Lins1,0.010694316333586631
Zfp949,0.019602263993846677
Mitd1,0.09082976531710298
Sp2,0.06789504533965189
Nkrf,0.008388030344794474
Jchain,0.008377608328472843
Pcolce2,0.00011053021877609239
Gcnt2,0.028329930194321937
Slc12a5,0.00023129758180170197
Tgtp2,0.048170151150522755
Marchf1,0.0008083011282289285
Zfp119b,0.006523553762222633
Cacng8,0.0011719561679075995
Cxcl17,9.78053050381494e-05
Vmn2r110,0.00011921212283499337
Coro7,0.08723414287807549
Cd209b,3.664877270665738e-05
Card10,0.001959078548350163
Psg23,5.4204574611810266e-05
Cox15,0.017454677268620933
Rps28,1.587004782548707
Nid1,0.00015916792344824714
Myocd,7.993120677692472e-06
Pnn,0.19801680579989694
Cryba4,0.0034748845405615115
Sds,2.163460566337808e-05
Herc3,0.10350209437953775
Prep,0.04851364926261005
Crisp1,1.5852640606422794e-05
Ephx1,0.09633229346225958
Scara5,1.2668687715234066e-05
Daxx,0.09235338311448378
Pinx1,0.03580532380846948
Xpo4,0.03484180197304704
Gfpt1,0.0422452724838829
Map2,0.00846370561704332
Nfx1,0.10105134149036747
Cdh4,9.218748577561768e-05
Zbtb7b,0.0378928524238852
Bbs9,0.05143398390336711
Il1r1,0.012792277192144085
Trmu,0.017864996820052305
Rubcn,0.013302370662792377
Ajuba,0.00042966111941721734
Brf1,0.06555749448803937
Lhfpl5,0.00022307276945614915
Snap23,0.051455422641023874
Mocos,0.005359594134298695
Dcaf6,0.04717771688492641
Ophn1,0.00033627100443546113
Flnc,5.482486969043382e-05
Nrxn3,0.0003718391443866793
Zfp953,0.003992134681574142
Adipoq,0.00023739120875086237
Dennd6a,0.049634044619470005
Tiparp,0.06385489003037122
Zdhhc5,0.033743220773184014
Zfp420,0.008001270917303974
Adamts7,0.00018580155295780192
Zzef1,0.0892464072653792
Aoah,0.014787985836223523
Tpm4,0.2239326258645197
Frs2,0.06223862859458088
Acer2,0.005446179744536308
Ears2,0.020956111497596318
Tecrl,6.925845220451805e-06
Clip2,0.010884166722997883
Sh3bgrl,0.0765329678292851
Cst3,0.20106276078415497
Ugt1a1,8.705844843005666e-06
Msrb3,0.0022207721435411575
Gpr155,0.013067390677103602
Cks1b,0.03708942844506407
Dhx34,0.014799416075605247
Tshb,2.839694130235641e-05
Gtf2f1,0.10196977878583073
Sirpa,0.0006713494705464933
Slc37a3,0.04032526565203943
Smpd3,0.00012551231328019526
Cebpd,0.004682349569909356
Klhl14,0.00011837941899880703
Cd27,0.28566848127136035
Tmem273,0.01755303894301292
Mt3,0.006993798778587322
Cdkal1,0.0839553812803284
Cxcl14,8.781216136162222e-05
Stxbp4,0.007315744980672514
Mx2,0.007737205322267689
Dyrk1a,0.09742939937077962
Cd300c2,0.0006517566165639455
Mgmt,0.018882760111717054
Zfp967,0.001667107960849219
Ephb6,0.011068956820406447
Hsh2d,0.03887936766243653
Gfpt2,0.0009122845511717521
Hoxa3,7.796092638028579e-05
Klra6,0.01883219772117
Zfp608,0.0029453562015618238
Pitpnm1,0.06266061132289302
Cd200r2,0.04291879603743587
Trp53i11,0.0466044410495949
Mrpl1,0.03417205402611253
Nfix,0.011511387682738725
Masp2,0.0008328096438816921
Gnaq,0.029019656084512884
Hsf5,0.00028077578377105856
Fxyd4,0.001303869381721288
Dhcr24,0.021314359280953276
Zbtb2,0.02747176274052136
Ccdc83,3.87858340605189e-05
Morn3,0.0008014592160775485
Etv3,0.06131047708609408
Rbm45,0.045712414575130644
Otud4,0.07964036069714468
Prss47,3.15265691772446e-05
Map3k5,0.06359700843307475
Tex10,0.05808941156705506
Tmem116,0.0036248100722543306
Trim9,0.0001205145883672998
Zfp385c,0.00022093462693763147
Pik3ap1,0.03829717765868052
Sik1,0.07574772108288104
Zfp397,0.04541141673689843
mt-Nd2,0.5443564709708627
Pcbp3,0.011322993090656977
Cyp2j7,1.4957742275460512e-05
Smarcc2,0.11046111413029078
Cbarp,0.021973697854489452
Plscr4,0.003240505737407874
Dhdds,0.03343264446549463
Tbc1d14,0.04218231272494373
Hipk2,0.05345072295756661
Ror2,2.9516750299908435e-05
Fubp1,0.221502305934516
4930469K13Rik,0.029779483416537345
Gas7,0.01354909437669611
Spata6,0.07274593100207118
Pik3r1,0.22029800326726454
Arv1,0.019737694774806563
Rapsn,0.009879631779375873
Rapgef1,0.1190119211874426
Fntb,0.043299845206462836
Slc30a9,0.04807403925017599
Cfap77,0.0016602812196039635
Zc3h4,0.05562138198485139
Tmem150b,0.0004951885452709084
Supt7l,0.020274823981607185
Ubd,0.0001333510754675851
Kcnc1,0.009151889216329645
Ssh2,0.2787229126924314
Tecpr1,0.18145296378763862
Sphk2,0.03209781305630791
4930544G11Rik,1.6400040931748233e-06
Sell,0.29768916737718326
Mcm6,0.11255684405005138
Cadps2,0.0006850913599843903
Babam2,0.12626429712630313
Insyn2b,0.03758621787659649
Cwf19l1,0.01729289871700464
Ints1,0.037589950199225494
Fktn,0.009905599225017457
Tmbim7,0.0001880429717086571
Maskbp3,0.0036996584617801243
Bicdl1,0.04040013232091438
Foxl1,1.7517426755829035e-06
Tktl1,0.002874596078658078
Tmem68,0.02517299600886626
Tti2,0.022429733074538046
Ncbp3,0.05822662596358381
Arhgap10,0.06984609481833097
Scgb1a1,0.0005799978273884917
Elk4,0.1277327639063694
Timm8a2,0.0003040658273417651
Adnp2,0.017107980955322257
Igf2bp2,0.0031416802220684318
Havcr1,1.6621886552985608e-05
Golga3,0.05075859129209014
Ubtd1,0.008331194058533645
Dbr1,0.04203563951555087
Ccdc149,8.591059008296323e-05
Entpd1,0.03829152115914148
Tyrp1,3.3476221196075037e-06
Cstdc4,3.2621451602151276e-05
Mrtfb,0.03320908929115439
Xpot,0.026198213817214697
Deaf1,0.0337063471816899
Trip6,0.001694102351560253
Cast,0.21061938793137713
Pum1,0.1574347972547218
S1pr1,0.25854442059266014
Gkn2,1.0170789953475296e-05
Tomt,0.0026853653691370333
Tdpoz8,0.00021788143271732298
Psd,0.0013358440009244936
Capsl,0.0020798727808245135
Bmx,0.00010897623026269015
Lrrc8d,0.06251784057442081
Pank3,0.03175229438179936
Cdc42ep1,0.00037322992195465036
Rragb,0.014396660774504915
Nop2,0.04057863256748691
Fut9,8.266590436967783e-05
Cd40,0.000562348879871513
AI467606,0.19085306967816207
Usp35,0.003082602228335743
Iqcn,0.00039769546414347826
Gcc1,0.021368771214490635
Pir,0.00020630120408362138
Fcna,0.0005879587839594443
Zfyve27,0.03157278143632627
Zfp804a,3.0285834199818464e-05
Nr1d1,0.0067371215516915765
Fat3,0.00022330723187556883
Utp18,0.07424595322172342
Btg4,1.3607911953710263e-05
Relb,0.09907895350139945
Rsf1,0.14212989300945525
Clk2,0.08512837218608478
Cd300e,4.616632959619976e-05
Uspl1,0.05708584977162134
Ube2c,0.028337345072606417
Col4a6,3.80336321903062e-05
C9,1.4592837592930856e-05
Dhx16,0.06755476447613751
Whrn,0.007094313280132644
Tspoap1,0.002487575739371759
Sez6l2,0.0011104048722237452
Zc3h12b,0.00787611920166744
Nrbp2,0.0013397386689877153
Zfp810,0.018695109789223088
Mfsd10,0.10374336248815237
Pdzd8,0.06828891889614667
Ms4a1,0.0013899960235973648
Zfp534,3.365902756405603e-05
Nfasc,4.189794297871313e-05
Aco2,0.10797662677023027
Tceal3,0.002686514346139232
Gm45861,5.849714495668945e-05
Smad2,0.09298672954796117
Zfp629,0.0023229943623595956
S100a4,0.10023374555561115
Snhg11,1.0606815590990103e-05
Rxylt1,0.03391609418002588
Efna1,0.00010240136118754675
Dpysl3,0.0004696624538025483
Il17a,0.02574473476505354
Sipa1,0.15880970744715253
Prss50,0.0003628861766457995
Bmpr1a,0.004923702199382743
Sun1,0.03569198305340777
Agrp,0.0045951277244880035
Kbtbd12,2.341595420027852e-05
Stfa3,0.0005433332152347425
Zfp322a,0.04105144969321525
Tnfaip1,0.016718483687777744
Zfp597,0.03006611314471153
1700030K09Rik,0.006820256673934427
Mxd1,0.09018568285146737
Clcc1,0.04488063702342266
H4c14,0.019209366331191618
Tdrp,0.06385482855737898
Nacc1,0.04286113017058909
Csf2,0.006561088843646722
Lpar5,0.0141832736442878
Slc5a8,4.225529370460196e-05
Trabd2b,4.3484462912746925e-05
Pappa2,3.57234543808834e-05
Stat5b,0.20587360072141828
Traf5,0.09202873046679033
Gm26965,0.0011750660663723655
Serpina3g,0.05356709234927249
Rps4x,2.3175134819561714
Magi3,0.03033270168512909
Gm21969,0.00016509916783999254
Ehd1,0.09595348701598916
Gpr37l1,5.010336627122299e-06
Cyp2c40,0.0007854867303761071
Zfp607a,0.014350393627406385
Notch3,0.00037194231026938326
Ipo11,0.029179758657415827
Klk15,5.411605438299279e-05
Gzmn,2.0929944748611383e-05
Ralgapa1,0.09544258728576843
Sycp2l,7.65958262577456e-05
Invs,0.027289821418157254
Pygb,0.06808089468462528
Rhoj,0.00010371640383573355
Atp2b4,0.05202250786508122
Erich3,0.0002141615369840487
Rab3gap1,0.13577392957850798
Rnf125,0.1748255163622616
Boc,0.0002866929839344112
Amdhd1,0.0018737822265855624
Tpbg,0.00045807562845823826
Sart1,0.10259185824077864
Plekha1,0.04291959359397083
Lilra6,2.1724928924932585e-05
Vmn1r168,7.13357304424158e-06
Hmg20b,0.0649556566308292
Kpna7,0.00026453232853018883
Irf2,0.2441567289454334
Try10,3.0287922151280893e-05
Prrc2c,0.4813058216156044
Prl8a8,6.72466850435072e-06
Ifi44,0.001918266949090233
Slk,0.12242523727113888
Ipo8,0.04903864231414632
Pex12,0.012457731054986309
Rbbp9,0.007941414643488357
F2rl3,0.006461276454759301
Pdzd2,0.006357091143532764
Cyp4a12a,7.591196418819382e-06
Exoc4,0.1942743517987199
Cd276,6.595914639566454e-05
Rora,0.1406074182522718
Tmem213,4.8533518797201594e-05
Camta2,0.02832036617600773
Arhgef4,0.011313937311776013
Zrsr2,0.09894652451823387
Ltf,0.0012483722763029028
Flt3,0.0007423085780543865
Cyp1a1,9.758971259470578e-05
Scn11a,0.0002817650326176074
Sesn1,0.164250905561625
Zfp354c,0.00602163960823476
Ggt1,0.01591900382931154
Zscan2,0.022826901134405796
Dvl2,0.0297703308948017
Hsph1,0.12129952540392107
Zc3h12d,0.04702801849134518
Trmt1l,0.07063096146724816
Cry2,0.01630765085261567
Itgb3,0.0598156480060074
Iglon5,0.0001280355022412868
Ly86,0.0022398325759630344
Trim5,0.03658508945046833
Reg1,7.699443432420502e-05
Klhl26,0.018555840525448626
Arx,5.2448296509707815e-05
Serpinb5,0.0003806446015836716
Saa2,6.264726984408991e-06
Rimkla,0.0008837205733008888
Slc39a14,0.012733435566809623
Fam47e,1.037490282234876e-05
Uba7,0.06170633909294114
Acap3,0.016495538921825065
Chn1,0.001098812722267355
Zfp97,0.003994725112939052
Maff,0.02524388970095447
Sdcbp2,0.030906968555520196
Rrh,0.0001619451399051726
Appl1,0.10748496716562753
Iqcg,0.0024010475851715756
Evi5l,0.014794183054026615
Agfg1,0.2167133538108429
Cep83,0.04676519564492279
Tspyl2,0.03784422431708576
Kidins220,0.07895478142237239
Rassf6,0.0005650309151128088
Nsrp1,0.07057019405079494
Gm20538,0.0004808359909960319
Tfpi2,1.8722652813611753e-05
Slc6a5,1.075342030096675e-05
Jph3,2.7276370460150072e-05
Epb41l5,0.002031329751957014
Antxr2,0.058637574320665437
Adamts6,0.05283910557106216
Ccr2,0.0579648519318156
2310033P09Rik,0.09448980986789834
Ubox5,0.007441434201641
Osr2,0.00021647314641993297
Slc18b1,4.641268836247567e-05
Abcg2,0.009245095823287051
Il1rn,0.0006172520185518825
Zbtb25,0.07149273572853544
Morc2a,0.0252945760815534
Tnfsf4,0.0014184927135412325
Actr1a,0.10772821517911246
Lekr1,0.0020906952141031194
Scnn1b,8.676817896610765e-05
Ago4,0.0009284794296639033
Ubxn6,0.0945787220614385
Kcns3,5.364288699268631e-05
Cwc27,0.053454711788426215
Dnah11,0.0016800301874261687
Sgsh,0.020986213635190213
CK137956,5.491638046025328e-06
Plcb2,0.05150849495209922
Gm49711,0.0010257042232816717
Cd24a,0.00405215404404652
Exoc8,0.015266644256392637
Celf1,0.13315268857474358
Tnip3,0.003902051760210459
Slit2,4.470343473556208e-05
Spef1,0.000802657204213904
Mapk6,0.05451813442324111
Syvn1,0.03521272466159556
Snca,0.00016610501947998996
Wsb1,0.08390392022371969
Arhgef12,0.023573737245766627
Ms4a18,1.2625227534264239e-05
Ptprv,0.004930470409472032
AU018091,2.229344754398236e-06
Mphosph10,0.09172714704468017
Egfem1,5.4089286741914226e-05
Gcm1,9.229120964172468e-06
Gm2244,1.1180333149692647e-05
Wwp2,0.09323463482639059
Igf2,0.0002751469594003213
Rhbdd1,0.03187892768060879
Med23,0.025271980521838582
Slc16a7,0.0006773714060579795
Fmo5,0.013273369101838852
Lonp2,0.18599050850383145
Zfp968,0.00013034273830946115
Sycn,6.847320616156415e-05
Hpse2,0.0001650380652952284
Mpz,0.0003850107858125214
Abca9,6.656765268316377e-05
Ctsw,0.5393402318387145
Tll2,0.00011550693558429419
Slc8a3,1.596380740777403e-05
Pus3,0.027344117007570775
Slc23a4,0.00019933237703735892
Cep95,0.03768076366517516
Tecpr2,0.007620807843585309
Pawr,0.0037376470622541725
Pced1b,0.1923389525896519
Sh2d4b,0.003192327310311749
Nf2,0.04031254419376847
Sp3,0.13005700759374653
Adarb1,0.003271060883974025
Rab7b,0.00011328989695722923
B4galt1,0.14375366696411887
Tctn1,0.00512170723580506
Aacs,0.031106021272842364
Sema7a,0.0035685080404224715
F2rl2,0.008332318436448223
Gstp3,0.14153587066178808
Ro60,0.007749722796755101
Appbp2,0.06644017047792723
Ulbp1,0.01645139027562818
Pkia,0.00030343712489311385
Ptpn23,0.019270240850518257
Ugt1a6a,2.524464738262065e-05
Lima1,0.0018370287639431064
Pkdcc,0.0009369744868790526
Smarca2,0.16933475645654636
Bmpr2,0.011981646998552175
Vps16,0.06568928555473023
Apoe,0.009288545362228864
Adcy7,0.1455958622628875
Rnf169,0.05975773058679137
Asph,0.003016040201605457
Gm2004,1.858808231022413e-06
Ptma,1.448974408150063
Trp53bp1,0.04878878672939668
Samd9l,0.08709628132012882
Gpd2,0.05557686322327381
Enox2,0.04318505056390661
Disc1,0.00928517354727823
Tmem245,0.05301989296517232
Ercc6,0.030543934967333625
Rfx1,0.04136267643752691
Dgat1,0.09583654160951513
2310057M21Rik,0.02115572348711008
Pik3ip1,0.08845188220574784
Tmsb4x,2.788412074410284
Best2,3.205270781030541e-05
Pacsin2,0.044910533913198644
Eps8l1,0.013758442774739294
Dpy19l3,0.019857631289847726
Clpsl2,7.582767783067398e-06
Atxn2l,0.15035689413065212
Casp9,0.01052196564393509
Itih2,3.587690375875408e-05
Trpm7,0.11202748767558882
Fbxo39,0.00015526515163960156
Zfp148,0.14723408491231205
Hnmt,2.7899879299908982e-05
Rnf157,0.04301165187452008
Ager,0.001714636940442143
Slfn5,0.06825625064739416
Rnf31,0.042518802693102355
Dennd1a,0.11353914358412434
Ahnak,0.3041799837137325
Nap1l4,0.20080477182778708
