rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed0:GP128,0,GP128,True
seed0:GP129,0,GP129,True
seed0:GP130,0,GP130,True
seed0:GP131,0,GP131,True
seed0:GP132,0,GP132,True
seed0:GP133,0,GP133,True
seed0:GP134,0,GP134,True
seed0:GP135,0,GP135,True
seed0:GP136,0,GP136,True
seed0:GP137,0,GP137,True
seed0:GP138,0,GP138,True
seed0:GP139,0,GP139,True
seed0:GP140,0,GP140,True
seed0:GP141,0,GP141,True
seed0:GP142,0,GP142,True
seed0:GP143,0,GP143,True
seed0:GP144,0,GP144,True
seed0:GP145,0,GP145,True
seed0:GP146,0,GP146,True
seed0:GP147,0,GP147,True
seed0:GP148,0,GP148,True
seed0:GP149,0,GP149,True
seed0:GP150,0,GP150,True
seed0:GP151,0,GP151,True
seed0:GP152,0,GP152,True
seed0:GP153,0,GP153,True
seed0:GP154,0,GP154,True
seed0:GP155,0,GP155,True
seed0:GP156,0,GP156,True
seed0:GP157,0,GP157,True
seed0:GP158,0,GP158,True
seed0:GP159,0,GP159,True
seed0:GP160,0,GP160,True
seed0:GP161,0,GP161,True
seed0:GP162,0,GP162,True
seed0:GP163,0,GP163,True
seed0:GP164,0,GP164,True
seed0:GP165,0,GP165,True
seed0:GP166,0,GP166,True
seed0:GP167,0,GP167,True
seed0:GP168,0,GP168,True
seed0:GP169,0,GP169,True
seed0:GP170,0,GP170,True
seed0:GP171,0,GP171,True
seed0:GP172,0,GP172,True
seed0:GP173,0,GP173,True
seed0:GP174,0,GP174,True
seed0:GP175,0,GP175,True
seed0:GP176,0,GP176,True
seed0:GP177,0,GP177,True
seed0:GP178,0,GP178,True
seed0:GP179,0,GP179,True
seed0:GP180,0,GP180,True
seed0:GP181,0,GP181,True
seed0:GP182,0,GP182,True
seed0:GP183,0,GP183,True
seed0:GP184,0,GP184,True
seed0:GP185,0,GP185,True
seed0:GP186,0,GP186,True
seed0:GP187,0,GP187,True
seed0:GP188,0,GP188,True
seed0:GP189,0,GP189,True
seed0:GP190,0,GP190,True
seed0:GP191,0,GP191,True
seed0:GP192,0,GP192,True
seed0:GP193,0,GP193,True
seed0:GP194,0,GP194,True
seed0:GP195,0,GP195,True
seed0:GP196,0,GP196,True
seed0:GP197,0,GP197,True
seed0:GP198,0,GP198,True
seed0:GP199,0,GP199,True
seed0:GP200,0,GP200,True
seed0:GP201,0,GP201,True
seed0:GP202,0,GP202,True
seed0:GP203,0,GP203,True
seed0:GP204,0,GP204,True
seed0:GP205,0,GP205,True
seed0:GP206,0,GP206,True
seed0:GP207,0,GP207,False
seed0:GP208,0,GP208,True
seed0:GP209,0,GP209,True
seed0:GP210,0,GP210,True
seed0:GP211,0,GP211,True
seed0:GP212,0,GP212,True
seed0:GP213,0,GP213,True
seed0:GP214,0,GP214,True
seed0:GP215,0,GP215,True
seed0:GP216,0,GP216,True
seed0:GP217,0,GP217,True
seed0:GP218,0,GP218,True
seed0:GP219,0,GP219,True
