gp_idx,total_loading,mean_loading,frac_active,entropy,f_stat_level1,f_stat_cluster,eta_sq_level1,eta_sq_cluster,gini_cluster,n_strong_genes,max_gene_effect,match_count,mean_corr,group_idx,within_group_pos
0,8847.09241470771,0.013961363100074658,0.014541948352806762,9.101941460053041,259.39042981488876,153.9644892328486,0.003264055109097886,0.026726333127254077,0.6512359635095297,1382,0.76712775,0,,0,0
1,10910.182775513866,0.01721707156171509,0.017726500905814256,9.307362288694879,120.2187089311221,275.06877179906405,0.0015154333119644803,0.04676542784370553,0.6873283884153932,1394,1.4257284,7,0.8191606642131009,0,1
2,6733.980746133042,0.010626717332508067,0.012253741612538742,8.862515377733516,1478.6597359604189,258.3588796136487,0.018325638253541714,0.04404966024017817,0.8028851798619796,157,0.18776453,7,0.844770853573821,0,2
3,10843.636794478834,0.01711205710492743,0.017483477569261652,9.298724087505912,1659.2353523441252,1493.5208632073325,0.020517668661732224,0.2103451257545877,0.8504230564513339,703,0.4907403,5,0.8073907885200203,0,3
4,5070.987872578024,0.008002392158517531,0.009739870345471876,8.600306251558813,616.6268429104949,190.7711077215164,0.007724636442696381,0.032905269855528364,0.8006736781571084,360,0.4834596,1,0.9047776174130944,1,0
5,12668.184996353713,0.019991328479737083,0.020159890418568246,9.449256268969398,561.1123419954682,2014.6425087690723,0.007034084417584704,0.2643382487775261,0.8473681849005921,1927,1.1809032,8,0.8842844748867283,1,1
6,9667.478715118175,0.015255993074021397,0.016280985475410455,9.199015883085721,1042.0228411222,1714.41317323359,0.01298448212933494,0.23417018695991834,0.8850970353437905,461,0.35536867,5,0.9413800773936221,1,2
7,23154.12283280323,0.036538910297251044,0.03786587636740078,10.064598845660283,3953.232921512981,691.9372419120959,0.04753618267050926,0.10985308005326554,0.8369913910683363,1625,2.261536,3,0.8234324359801742,1,3
8,16323.840694955503,0.025760222279488678,0.027371686834447455,9.719667562127142,2336.923858789354,1167.7495551090192,0.02865763243082457,0.17237265812803135,0.8125399080642903,714,0.9950222,6,0.7519415455302325,2,0
9,19070.451873426413,0.03009457690809049,0.03183447901477708,9.87569390294195,1962.520803222128,1062.7797419605592,0.02417734344876821,0.15934699438911296,0.8946014517202833,1229,1.9750421,9,0.9371155159454373,2,1
10,10606.894101978742,0.01673845970859094,0.017933228549245367,9.2935500063626,978.3109811890391,443.6959498228416,0.012200264532119531,0.07333199049687225,0.8473106784189246,1138,1.9046233,0,,2,2
11,2791.490782319482,0.004405177947241026,0.004625333762569356,7.951961300067573,171.8824654141846,67.79304643471164,0.0021652776852152094,0.011946738157717011,0.724241549431792,714,1.1201417,0,,2,3
12,6133.59765166998,0.009679268612857481,0.010199089767139458,8.74112177454269,768.1601273422681,178.2307780785379,0.009604698695942354,0.030808883942662617,0.7328583574560839,1180,0.3888877,1,0.8395012817031032,3,0
13,6585.258056037636,0.010392021979468688,0.010735634795891959,8.80413644232026,390.8392811153088,713.5986525308945,0.004910028002374777,0.11290380451037008,0.8521261104490022,845,0.44449985,1,0.6340107155628413,3,1
14,6223.059199861596,0.009820445521524288,0.01143314333327021,8.78828899566953,57.20034530955039,86.51381801956018,0.0007216199900193507,0.015195649778885956,0.6661354701869726,510,0.4430679,3,0.6717425693175091,3,2
15,982.9999476043815,0.0015512462798561767,0.0015512463625403199,6.890609135361078,60.50422881438713,72.66787994523504,0.000763268840611454,0.012794807597453732,0.819408960458605,2562,1.880929,0,,3,3
16,16678.995102414963,0.02632068207878842,0.026685224812367046,9.726710073288093,20620.63998266013,3192.593458398098,0.20655751665710767,0.36281913477672967,0.8577058511595843,659,0.52290654,9,0.8440881585465165,4,0
17,10843.861365610805,0.017112411494705253,0.01935822902266745,9.341106690021508,156.7410210970738,121.54731060195178,0.001974911069799724,0.02121851270049151,0.7202262451834073,296,0.5307931,5,0.6661846719596068,4,1
18,9091.940591358509,0.014347751547077896,0.015389373883512919,9.144688026570924,434.36387500906983,134.6005130467114,0.005453835808622067,0.02344378880961098,0.7802910203654956,1152,1.1541064,6,0.8763356773716149,4,2
19,30253.52867804925,0.04774229533655457,0.05148307358241647,10.341536246981937,5327.857230512033,1277.167854419977,0.06302379543234027,0.1855274827673898,0.9136460257656243,1441,2.557722,9,0.9001002857269094,4,3
20,5672.182753104315,0.008951121936334697,0.011324256253905733,8.717059408332354,509.89099831833465,104.92956901067558,0.006396082451751258,0.018370846803005325,0.7965621761145831,349,0.3700962,4,0.7276014095800803,5,0
21,10303.403852008536,0.01625952975301339,0.016337796125513664,9.242013628561514,6576.558341622453,1892.7445930192312,0.07666243270249033,0.25238079406150554,0.8888454792280738,752,1.0136663,9,0.8589585118369601,5,1
22,11872.798493213144,0.018736150026216765,0.01909784687636109,9.389089831102023,4628.813541215313,1422.4937873974536,0.0552112780793178,0.20236612169870702,0.8044550151940209,855,0.77542627,8,0.7404514068724194,5,2
23,7349.311368209387,0.011597754351079383,0.012327911072395704,8.927045475127873,133.86023639306111,52.73395026689795,0.0016871033301609345,0.009317696262327148,0.627036574619305,725,0.64746344,1,0.5930193263693866,5,3
24,10023.95673662455,0.01581854163372367,0.01596379267900089,9.21626839679977,438.6855112055402,1730.079751613665,0.005507799039799874,0.2358054747175833,0.8176787171691523,2048,1.0460093,9,0.9362442660171045,6,0
